Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
G3,MC2.1d.E,ssa-miR-21a-3p,Unknown,31.90,0.024,,,,,76.20
G4,MC2.1d.E,ssa-miR-21a-3p,Unknown,31.93,0.024,,,,,76.20
G5,K2.1d.A,ssa-miR-21a-3p,Unknown,38.44,0.506,,,,,76.60
G6,K2.1d.A,ssa-miR-21a-3p,Unknown,37.72,0.506,,,,,76.60
G7,MC2.1d.A,ssa-miR-21a-3p,Unknown,37.61,0.386,,,,,76.20
G8,MC2.1d.A,ssa-miR-21a-3p,Unknown,37.06,0.386,,,,,76.20
G9,K2.1d.E,ssa-miR-21-21a-5p,Unknown,24.74,0.109,,,,,75.10
G10,K2.1d.E,ssa-miR-21-21a-5p,Unknown,24.90,0.109,,,,,75.10
G11,MC2.1d.E,ssa-miR-21-21a-5p,Unknown,20.21,0.106,,,,,74.80
G12,MC2.1d.E,ssa-miR-21-21a-5p,Unknown,20.36,0.106,,,,,74.80
H1,K1.1d.E,ssa-miR-21a-3p,Unknown,35.40,0.203,,,,,76.20
H2,K1.1d.E,ssa-miR-21a-3p,Unknown,35.11,0.203,,,,,76.20
H3,MC1.1d.E,ssa-miR-21a-3p,Unknown,30.21,0.016,,,,,76.20
H4,MC1.1d.E,ssa-miR-21a-3p,Unknown,30.19,0.016,,,,,76.20
H5,K1.1d.A,ssa-miR-21a-3p,Unknown,38.70,0.065,,,,,76.20
H6,K1.1d.A,ssa-miR-21a-3p,Unknown,38.79,0.065,,,,,76.20
H7,MC1.1d.A,ssa-miR-21a-3p,Unknown,38.19,1.434,,,,,76.20
H8,MC1.1d.A,ssa-miR-21a-3p,Unknown,36.16,1.434,,,,,76.20
H9,K1.1d.E,ssa-miR-21-21a-5p,Unknown,26.08,0.022,,,,,74.80
H10,K1.1d.E,ssa-miR-21-21a-5p,Unknown,26.11,0.022,,,,,74.80
H11,MC1.1d.E,ssa-miR-21-21a-5p,Unknown,16.53,0.394,,,,,74.80
H12,MC1.1d.E,ssa-miR-21-21a-5p,Unknown,17.08,0.394,,,,,74.50
