975665,591975,46948.9,238073,652867,982264,X,X,X,X,X,X
972637,438276,39881.2,47983.5,644846,1251770,X,X,X,X,X,X
1279200,845822,21061.1,67429.6,694393,784078,X,X,X,X,X,X
630090,821758,12962.7,43745.2,584678,1065860,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X
1394850,699066,50474.2,150968,785369,718696,X,X,X,X,X,X
1447400,349089,36163.2,6237.23,694211,841149,X,X,X,X,X,X
1281730,524003,7620.13,77872.9,668389,447663,X,X,X,X,X,X
495444,458171,5362.85,80875.3,836398,525652,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X
